observation_date,ITNETUSERP2BRA
1990-01-01,0.00000000000000
1991-01-01,0.00329000000000
1992-01-01,0.01290000000000
1993-01-01,0.02550000000000
1994-01-01,0.03770000000000
1995-01-01,0.10500000000000
1996-01-01,0.45100000000000
1997-01-01,0.78600000000000
1998-01-01,1.48000000000000
1999-01-01,2.04000000000000
2000-01-01,2.87068515854108
2001-01-01,4.52849486902851
2002-01-01,9.14942508560748
2003-01-01,13.20758610353030
2004-01-01,19.07367227444200
2005-01-01,21.02274724882700
2006-01-01,28.17840004000000
2007-01-01,30.87999916000000
2008-01-01,33.83000000000000
2009-01-01,39.22000000000000
2010-01-01,40.65000000000000
2011-01-01,45.69000000000000
2012-01-01,48.56000000000000
2013-01-01,51.04000000000000
2014-01-01,54.55100187963920
2015-01-01,58.32795173409240
2016-01-01,60.87254006812610
2017-01-01,67.47128452363050
2018-01-01,70.43428254043610
2019-01-01,73.91243991335890
2020-01-01,81.34269353000001
2021-01-01,80.68989314000000
2022-01-01,80.52775094000000
2023-01-01,84.15060238000000
2024-01-01,84.46347227000000
